user_id,signup_day,signup_hour,country,city,gender,age,device_type,acquisition_source,campaign_group,lifetime_sessions,sessions_last_7d,avg_session_minutes,notification_views,notification_clicks,used_free_trial,viewed_pricing_page,added_payment_method,support_interaction,positive_interaction,negative_interaction,wallet_balance,converted
100000,Sun,16,India,Hyderabad,Female,41.0,iOS,affiliate,lookalike,4,2,3.77,3,1,0,0,0,1,0,0,45.06,0
100001,Thu,18,India,London,Female,38.0,Android,meta,generic,5,2,8.94,5,1,0,1,0,0,0,0,220.07,0
100002,Fri,13,India,London,Male,33.0,Android,organic,lookalike,4,1,7.32,4,1,0,0,0,0,0,0,160.84,0
100003,Sun,11,India,Chennai,Female,29.0,Android,google,none,4,1,8.13,6,0,0,0,0,0,0,0,86.3,0
100004,Wed,9,India,Chennai,Unknown,21.0,Android,email,lookalike,3,4,0.6,3,0,0,1,0,0,0,0,89.39,1
100005,Fri,19,India,Mumbai,Unknown,47.0,Web,meta,remarketing,5,1,14.43,4,2,0,0,0,1,0,0,19.01,0
100006,Fri,20,India,Bengaluru,Male,25.0,Android,organic,none,4,2,6.0,2,0,1,1,0,0,1,0,73.87,1
100007,Sun,17,Canada,Pune,Female,36.0,Android,organic,brand,10,2,0.78,5,0,1,0,0,0,0,0,63.79,0
100008,Tue,23,UAE,Bengaluru,Male,39.0,iOS,email,generic,8,0,4.26,4,2,1,0,0,0,1,0,32.53,1
100009,Wed,10,India,London,Male,27.0,iOS,organic,remarketing,2,2,5.16,4,1,0,1,0,0,0,0,56.36,0
100010,Sun,1,India,Mumbai,Female,39.0,iOS,google,remarketing,3,0,12.16,5,1,1,0,0,0,1,0,211.77,1
100011,Wed,17,UAE,Bengaluru,Male,37.0,Android,email,none,7,1,7.74,6,0,0,1,0,0,1,0,0.43,1
100012,Wed,6,United States,Delhi,Female,45.0,Android,meta,crm_push,4,2,6.58,2,0,0,1,0,0,0,0,43.18,0
100013,Fri,23,Canada,London,Male,27.0,Android,organic,brand,6,3,5.26,3,1,1,0,0,0,0,0,32.47,0
100014,Thu,14,India,Bengaluru,Male,21.0,Android,organic,generic,4,0,4.56,1,1,0,0,0,0,0,0,260.01,0
100015,Wed,10,India,Bengaluru,Female,27.0,Web,organic,generic,5,1,1.32,3,3,0,1,1,0,0,0,291.65,0
100016,Sat,17,India,London,Female,33.0,Android,organic,generic,5,2,6.16,0,1,0,0,0,0,0,0,70.49,0
100017,Fri,22,India,Pune,Male,31.0,Web,meta,none,9,0,2.41,3,0,0,0,0,0,0,0,63.88,0
100018,Tue,11,India,London,Male,28.0,Android,meta,brand,4,3,3.08,1,1,1,1,0,0,0,0,186.82,0
100019,Thu,5,India,Delhi,Female,18.0,iOS,organic,none,1,1,7.96,1,0,0,1,0,1,0,1,0.53,0
100020,Sat,19,India,Delhi,Male,35.0,Android,organic,generic,4,3,2.93,4,0,1,0,0,0,0,0,66.09,0
100021,Sat,22,India,Bengaluru,Unknown,47.0,Web,organic,lookalike,6,4,0.88,6,1,0,0,0,0,0,0,2.0,0
