user_id,probability_score,score_bucket
500430,0.805348,Very High
500233,0.738464,High
500400,0.715283,High
500631,0.696218,High
500741,0.685278,High
500296,0.685182,High
500766,0.677356,High
500238,0.663788,High
500036,0.65827,High
500418,0.657476,High
500421,0.657316,High
500270,0.653968,High
500054,0.650775,High
500688,0.64825,High
500317,0.648179,High
500697,0.643418,High
500552,0.638986,High
500167,0.638041,High
500350,0.63424,High
500620,0.633142,High
500701,0.633051,High
500034,0.631795,High
500268,0.631269,High
500301,0.626703,High
500695,0.621909,High
500535,0.619216,High
500255,0.618706,High
500428,0.618596,High
500154,0.617911,High
500274,0.614482,High
500186,0.614442,High
500649,0.612139,High
500415,0.612091,High
500162,0.610509,High
500224,0.608558,High
500639,0.606871,High
500501,0.605276,High
500318,0.601911,High
500230,0.599753,Medium
500768,0.598326,Medium
500025,0.597168,Medium
500288,0.595896,Medium
500259,0.594502,Medium
500273,0.593804,Medium
500028,0.592864,Medium
500405,0.59282,Medium
500170,0.591359,Medium
500729,0.591164,Medium
500217,0.589983,Medium
500015,0.589516,Medium
500060,0.5893,Medium
500313,0.587367,Medium
500682,0.584516,Medium
500775,0.584412,Medium
500361,0.58266,Medium
500071,0.581505,Medium
500573,0.580668,Medium
500565,0.580406,Medium
500398,0.580002,Medium
500419,0.577681,Medium
500482,0.577595,Medium
500194,0.575728,Medium
500000,0.574024,Medium
500392,0.573794,Medium
500260,0.573236,Medium
500027,0.572011,Medium
500254,0.570611,Medium
500525,0.569934,Medium
500285,0.568861,Medium
500267,0.56793,Medium
500786,0.56765,Medium
500654,0.5671,Medium
500108,0.563602,Medium
500420,0.563243,Medium
500064,0.562967,Medium
500412,0.561437,Medium
500637,0.561084,Medium
500718,0.560114,Medium
500531,0.559407,Medium
500152,0.55899,Medium
